zaman_damgasi,kayit_no,oturum_kimligi,kullanici,hesap_turu,kaynak_adres,hedef_bolge,hedef_varlik,olay,sure_dk,is_emri,cok_faktorlu,sonuc
2026-03-10T02:12:00+00:00,UE-0001,-,sistem,sistem,-,gecit,ERISIM-GECIDI,saglik_kaydi,-,-,-,basarili
2026-03-10T04:40:11+00:00,UE-0002,S-4402,o.kaya,personel,198.51.100.101,OT-DMZ,HIS-KOPYA-01,oturum_tamamlandi,18,-,evet,basarili
2026-03-10T05:05:37+00:00,UE-0003,S-4403,t.arslan,kurumsal,198.51.100.20,OT-DMZ,RAPOR-KOPYA-01,oturum_tamamlandi,12,-,evet,basarili
2026-03-10T05:52:04+00:00,UE-0004,S-4405,tdk.ercan,tedarikci,198.51.100.66,OT-DMZ,ANALIZOR-TANILAMA,oturum_tamamlandi,34,IE-2026-0401,evet,basarili
2026-03-10T07:15:52+00:00,UE-0005,-,o.kaya,personel,198.51.100.101,OT-DMZ,HIS-KOPYA-01,giris_reddedildi,-,-,hayir,reddedildi
2026-03-10T07:16:40+00:00,UE-0006,S-4408,o.kaya,personel,198.51.100.101,OT-DMZ,HIS-KOPYA-01,oturum_tamamlandi,21,-,evet,basarili
2026-03-10T08:30:00+00:00,UE-0007,S-4410,svc.yedek,hizmet,198.51.100.30,OT-DMZ,YEDEK-DEPO-01,oturum_tamamlandi,41,-,yok,basarili
2026-03-10T10:44:19+00:00,UE-0008,S-4412,t.arslan,kurumsal,198.51.100.20,OT-DMZ,RAPOR-KOPYA-01,oturum_tamamlandi,12,-,evet,basarili
2026-03-10T12:20:05+00:00,UE-0009,S-4415,m.sezer,personel,198.51.100.40,OT-DMZ,DMZ-YONETIM,oturum_tamamlandi,27,-,evet,basarili
2026-03-10T13:05:22+00:00,UE-0010,S-4418,tdk.ozmen,tedarikci,198.51.100.72,OT-DMZ,ERISIM-ON-TEST,oturum_tamamlandi,9,IE-2026-0412,evet,basarili
2026-03-10T15:30:48+00:00,UE-0011,S-4421,o.kaya,personel,198.51.100.101,OT-DMZ,HIS-KOPYA-01,oturum_tamamlandi,22,-,evet,basarili
2026-03-10T17:31:00+00:00,UE-0012,S-4425,svc.yedek,hizmet,198.51.100.30,OT-DMZ,YEDEK-DEPO-01,oturum_tamamlandi,38,-,yok,basarili
2026-03-10T18:47:30+00:00,UE-0013,-,n.tekin,personel,198.51.100.55,gecit,BAKIM-PENCERESI,onay_kaydi,-,IE-2026-0412,evet,basarili
2026-03-10T19:14:05+00:00,UE-0014,S-4471,tdk.ozmen,tedarikci,198.51.100.72,OT-MUHENDISLIK,MUH-IST-01,oturum_acildi,-,IE-2026-0412,evet,basarili
2026-03-10T19:16:20+00:00,UE-0015,S-4471,tdk.ozmen,tedarikci,198.51.100.72,OT-MUHENDISLIK,MUH-IST-01,bolge_gecisi,-,IE-2026-0412,evet,basarili
2026-03-10T20:59:30+00:00,UE-0016,S-4471,n.tekin,personel,198.51.100.55,gecit,BAKIM-PENCERESI,sure_uzatma_onayi,-,IE-2026-0412,evet,basarili
2026-03-10T21:52:10+00:00,UE-0017,S-4471,tdk.ozmen,tedarikci,198.51.100.72,OT-MUHENDISLIK,MUH-IST-01,oturum_kapandi,158,IE-2026-0412,evet,basarili
2026-03-10T23:02:14+00:00,UE-0018,S-4478,o.kaya,personel,198.51.100.101,OT-DMZ,HIS-KOPYA-01,oturum_tamamlandi,14,-,evet,basarili
2026-03-11T00:37:12+00:00,UE-0019,S-4489,tdk.ozmen,tedarikci,203.0.113.45,OT-MUHENDISLIK,MUH-IST-01,oturum_acildi,-,-,evet,basarili
2026-03-11T00:39:05+00:00,UE-0020,S-4489,tdk.ozmen,tedarikci,203.0.113.45,OT-MUHENDISLIK,MUH-IST-01,bolge_gecisi,-,-,evet,basarili
2026-03-11T01:58:40+00:00,UE-0021,S-4489,tdk.ozmen,tedarikci,203.0.113.45,OT-MUHENDISLIK,MUH-IST-01,oturum_kapandi,81,-,evet,basarili
2026-03-11T02:20:33+00:00,UE-0022,S-4491,o.kaya,personel,198.51.100.101,OT-DMZ,HIS-KOPYA-01,oturum_tamamlandi,11,-,evet,basarili
2026-03-11T03:40:00+00:00,UE-0023,-,sistem,sistem,-,gecit,ERISIM-GECIDI,saglik_kaydi,-,-,-,basarili
2026-03-11T04:35:27+00:00,UE-0024,S-4494,t.arslan,kurumsal,198.51.100.20,OT-DMZ,RAPOR-KOPYA-01,oturum_tamamlandi,9,-,evet,basarili
2026-03-11T05:10:02+00:00,UE-0025,S-4496,n.tekin,personel,198.51.100.55,OT-DMZ,DMZ-YONETIM,oturum_tamamlandi,15,-,evet,basarili
2026-03-11T06:05:41+00:00,UE-0026,S-4498,tdk.ercan,tedarikci,198.51.100.66,OT-DMZ,ANALIZOR-TANILAMA,oturum_tamamlandi,18,IE-2026-0401,evet,basarili
2026-03-11T07:12:00+00:00,UE-0027,S-4501,svc.yedek,hizmet,198.51.100.30,OT-DMZ,YEDEK-DEPO-01,oturum_tamamlandi,33,-,yok,basarili
2026-03-11T08:48:16+00:00,UE-0028,S-4504,m.sezer,personel,198.51.100.40,OT-DMZ,DMZ-YONETIM,oturum_tamamlandi,20,-,evet,basarili
2026-03-11T10:15:09+00:00,UE-0029,S-4507,o.kaya,personel,198.51.100.101,OT-DMZ,HIS-KOPYA-01,oturum_tamamlandi,25,-,evet,basarili
2026-03-11T11:02:44+00:00,UE-0030,-,tdk.ozmen,tedarikci,203.0.113.45,OT-MUHENDISLIK,MUH-IST-01,talep_reddedildi,-,-,evet,reddedildi
2026-03-11T12:30:31+00:00,UE-0031,S-4510,t.arslan,kurumsal,198.51.100.20,OT-DMZ,RAPOR-KOPYA-01,oturum_tamamlandi,10,-,evet,basarili
2026-03-11T14:10:55+00:00,UE-0032,S-4513,o.kaya,personel,198.51.100.101,OT-DMZ,HIS-KOPYA-01,oturum_tamamlandi,16,-,evet,basarili
2026-03-11T17:28:00+00:00,UE-0033,S-4516,svc.yedek,hizmet,198.51.100.30,OT-DMZ,YEDEK-DEPO-01,oturum_tamamlandi,36,-,yok,basarili
