zaman_damgasi,kayit_no,gozlem_dk,kaynak_varlik,kaynak_adres,hedef_varlik,hedef_adres,trafik_turu,cift_durumu,envanter_kaydi,aciklama
2026-03-10T06:00:00+03:00,AG-0001,15,SCADA-01,192.0.2.10,RTU-TERFI-01,192.0.2.51,telemetri,bilinen,var,-
2026-03-10T06:00:00+03:00,AG-0002,15,SCADA-01,192.0.2.10,RTU-TERFI-02,192.0.2.52,telemetri,bilinen,var,-
2026-03-10T06:00:00+03:00,AG-0003,15,HISTORIAN-01,192.0.2.40,SCADA-01,192.0.2.10,izleme_verisi,bilinen,var,-
2026-03-10T06:05:00+03:00,AG-0004,15,ZAMAN-SUNUCU,192.0.2.4,SCADA-01,192.0.2.10,zaman_senkronizasyonu,bilinen,var,-
2026-03-10T08:10:00+03:00,AG-0005,15,SCADA-01,192.0.2.10,RTU-TERFI-03,192.0.2.53,telemetri,kesildi,var,eski cihaz yanit vermiyor
2026-03-10T09:12:00+03:00,AG-0006,15,SCADA-01,192.0.2.10,-,192.0.2.58,telemetri,yeni,yok,ilk gorulme
2026-03-10T10:00:00+03:00,AG-0007,15,MUH-IST-01,192.0.2.31,PROJE-DEPO,192.0.2.35,dosya_aktarimi,bilinen,var,-
2026-03-10T12:00:00+03:00,AG-0008,15,KAYIT-TOPLAYICI,192.0.2.9,SIEM-KOPYA,198.51.100.35,kayit_aktarimi,bilinen,var,-
2026-03-10T14:00:00+03:00,AG-0009,15,SCADA-01,192.0.2.10,-,192.0.2.58,telemetri,bilinen,yok,envanter kaydi hala olusturulmadi
2026-03-10T16:08:00+03:00,AG-0010,15,ERISIM-GECIDI,192.0.2.5,MUH-IST-01,192.0.2.31,yonetim_oturumu,bilinen,var,kisa sureli
2026-03-10T20:35:00+03:00,AG-0011,15,YEDEK-SUNUCU,192.0.2.44,PROJE-DEPO,192.0.2.35,dosya_aktarimi,bilinen,var,planli yedekleme
2026-03-10T22:16:00+03:00,AG-0012,15,ERISIM-GECIDI,192.0.2.5,MUH-IST-01,192.0.2.31,yonetim_oturumu,bilinen,var,S-4471
2026-03-10T23:58:00+03:00,AG-0013,15,MUH-IST-01,192.0.2.31,PLC-TERFI-02,192.0.2.61,muhendislik_trafigi,artis,var,yukleme penceresi
2026-03-11T00:25:00+03:00,AG-0014,15,MUH-IST-01,192.0.2.31,PLC-TERFI-02,192.0.2.61,muhendislik_trafigi,azalis,var,-
2026-03-11T00:53:00+03:00,AG-0015,15,ERISIM-GECIDI,192.0.2.5,MUH-IST-01,192.0.2.31,yonetim_oturumu,kesildi,var,S-4471 sonlandi
2026-03-11T01:05:00+03:00,AG-0016,15,KAYIT-TOPLAYICI,192.0.2.9,-,-,saglik_kaydi,-,var,depolama doluluk uyarisi
2026-03-11T01:18:00+03:00,AG-0017,15,KAYIT-TOPLAYICI,192.0.2.9,-,-,saglik_kaydi,-,var,servis yanit vermiyor; arabellege yazma hatasi
2026-03-11T01:58:00+03:00,AG-0018,15,KAYIT-TOPLAYICI,192.0.2.9,-,-,saglik_kaydi,-,var,servis yeniden basladi; 01:18-01:58 arasi kayit yok
2026-03-11T02:05:00+03:00,AG-0019,15,SCADA-01,192.0.2.10,RTU-TERFI-02,192.0.2.52,telemetri,kesildi,var,bosluk sonrasi ilk gozlem
2026-03-11T02:05:00+03:00,AG-0020,15,SCADA-01,192.0.2.10,RTU-TERFI-01,192.0.2.51,telemetri,bilinen,var,-
2026-03-11T03:39:00+03:00,AG-0021,15,ERISIM-GECIDI,192.0.2.5,MUH-IST-01,192.0.2.31,yonetim_oturumu,bilinen,var,S-4489
2026-03-11T04:42:00+03:00,AG-0022,15,PROJE-DEPO,192.0.2.35,MUH-IST-01,192.0.2.31,dosya_aktarimi,artis,var,S-4489 penceresi
2026-03-11T04:58:00+03:00,AG-0023,15,ERISIM-GECIDI,192.0.2.5,MUH-IST-01,192.0.2.31,yonetim_oturumu,kesildi,var,S-4489 sonlandi
2026-03-11T06:00:00+03:00,AG-0024,15,SCADA-01,192.0.2.10,-,192.0.2.58,telemetri,bilinen,yok,-
2026-03-11T06:05:00+03:00,AG-0025,15,ZAMAN-SUNUCU,192.0.2.4,MUH-IST-01,192.0.2.31,zaman_senkronizasyonu,bilinen,var,-
2026-03-11T08:00:00+03:00,AG-0026,15,HISTORIAN-01,192.0.2.40,SCADA-01,192.0.2.10,izleme_verisi,bilinen,var,-
2026-03-11T09:20:00+03:00,AG-0027,15,MUH-IST-01,192.0.2.31,RTU-TERFI-02,192.0.2.52,tanilama_trafigi,yeni,var,is emri IE-2026-0421
2026-03-11T11:12:00+03:00,AG-0028,15,SCADA-01,192.0.2.10,RTU-TERFI-02,192.0.2.52,telemetri,yeniden_kuruldu,var,modul degisimi sonrasi
2026-03-11T12:00:00+03:00,AG-0029,15,KAYIT-TOPLAYICI,192.0.2.9,SIEM-KOPYA,198.51.100.35,kayit_aktarimi,bilinen,var,-
2026-03-11T14:00:00+03:00,AG-0030,15,SCADA-01,192.0.2.10,-,192.0.2.58,telemetri,bilinen,yok,envanter is listesinde bekliyor
2026-03-11T18:00:00+03:00,AG-0031,15,SCADA-01,192.0.2.10,RTU-TERFI-02,192.0.2.52,telemetri,bilinen,var,-
2026-03-11T20:36:00+03:00,AG-0032,15,YEDEK-SUNUCU,192.0.2.44,PROJE-DEPO,192.0.2.35,dosya_aktarimi,bilinen,var,planli yedekleme
2026-03-11T22:00:00+03:00,AG-0033,15,HISTORIAN-01,192.0.2.40,SCADA-01,192.0.2.10,izleme_verisi,bilinen,var,-
